省份编码,省份,年份,所属区域,推荐建模样本标记,基准因变量,稳健性因变量_住院率,稳健性因变量_两周就诊率,PM2.5,PM10,SO2,NO2,O3,CO,ln_常住人口,ln_人均GDP,常住人口_万人,人均GDP_元,地区生产总值_亿元,城镇化率,第二产业占比,医疗卫生机构数_个,医院数_个,城镇人口_万人,第二产业增加值_亿元,污染覆盖月份数,污染数据是否完整年
7,天津,2019,东部,1,17.8,14.0,44.3,51.16666666666666,76.41666666666667,10.83333333333333,42.16666666666666,148.0,1.575,7.233455418621439,11.530616428440792,1385,101784.8375451264,14097.2,0.8433212996389892,0.3558791816814686,5962,441.0,1168,5016.9,12,是
8,宁夏,2019,西部,1,33.7,25.5,69.5,31.41666666666667,68.41666666666667,14.91666666666667,36.66666666666666,120.4166666666667,1.358333333333333,6.57507584059962,10.888882725684253,717,53577.40585774059,3841.5,0.6359832635983264,0.4133801900299362,4397,219.0,456,1588.0,12,是
9,安徽,2019,中部,1,20.8,15.6,37.1,43.58333333333334,67.58333333333333,6.166666666666667,41.58333333333334,140.0,1.05,8.714731714015052,11.029963650286758,6092,61695.33814839133,37584.8,0.5702560735390676,0.396327770800962,26435,1241.0,3474,14895.9,12,是
10,山东,2019,东部,1,17.8,14.0,44.3,55.33333333333334,106.1666666666667,15.0,44.58333333333334,150.25,1.358333333333333,9.220884585851854,11.174214627182208,10106,71268.85018800713,72024.3,0.6186423906590145,0.3952124491317514,83616,2615.0,6252,28464.9,12,是
11,山西,2019,中部,1,20.8,15.6,37.1,55.75,107.4166666666667,21.91666666666667,49.91666666666666,137.9166666666667,1.491666666666666,8.159660737063376,10.809777051489537,3497,49502.43065484701,17311.0,0.6128109808407206,0.4276413840910404,42162,1405.0,2143,7402.9,12,是
12,广东,2019,东部,1,17.8,14.0,44.3,30.0,52.66666666666666,6.833333333333333,44.83333333333334,153.0,1.075,9.432603535863086,11.390218906591898,12489,88452.31803987508,110468.1,0.7264793017855713,0.3940377357807366,53900,1631.0,9073,43528.6,12,是
13,广西,2019,西部,1,33.7,25.5,69.5,30.33333333333333,52.75,9.083333333333334,29.33333333333333,111.1666666666667,1.083333333333333,8.513586695822125,10.665162489073746,4982,42837.21397029306,21341.5,0.5297069450020072,0.3219220767050114,33679,678.0,2639,6870.3,12,是
14,新疆,2019,西部,1,33.7,25.5,69.5,50.0,83.83333333333333,8.5,42.0,92.91666666666669,6.025,7.847371836159788,10.911558136057094,2559,54806.17428683079,14024.9,0.5552950371238765,0.3440238433072607,18376,917.0,1421,4824.9,12,是
15,江苏,2019,东部,1,17.8,14.0,44.3,39.75,69.16666666666667,9.833333333333334,41.75,147.4166666666667,1.141666666666667,9.0441677169216,11.6774657884963,8469,117885.1104026449,99836.9,0.7246428149722517,0.4435374095149189,34796,1941.0,6137,44281.4,12,是
16,江西,2019,中部,1,20.8,15.6,37.1,35.5,69.33333333333333,8.583333333333334,33.5,130.75,1.075,8.415381925269553,10.910488157485794,4516,54747.56421612046,24724.0,0.5907883082373782,0.420049344766219,37029,807.0,2668,10385.3,12,是
